Time (s),Voltage
0,3.564617729
1,3.367188089
2,3.318182065
3,3.28471643
4,3.2585341
5,3.236567511
6,3.217355226
7,3.199940951
8,3.183650741
9,3.167959625
10,3.152496488
11,3.137030396
12,3.121463008
13,3.10579061
14,3.090044444
15,3.074238893
16,3.058351009
17,3.042330501
18,3.026132881
19,3.009751314
20,2.993188716
21,2.976462244
22,2.95955894
23,2.942455025
24,2.925120783
25,2.90753918
26,2.889703701
27,2.87161923
28,2.853269688
29,2.834636166
30,2.815692232
31,2.796394142
32,2.776752666
33,2.756734862
34,2.736334017
35,2.715513576
36,2.694212659
37,2.672410215
38,2.650076389
39,2.62714969
40,2.603606278
41,2.579376778
42,2.55434346
43,2.528462621
44,2.501661541
