Time (s),Voltage (V)
0,3.97119805
1,3.943109127
2,3.933502375
3,3.926635621
4,3.921085029
5,3.916348829
6,3.912173477
7,3.908417794
8,3.904958486
9,3.901752435
10,3.898756117
11,3.895920672
12,3.893242162
13,3.890685863
14,3.88823323
15,3.885885701
16,3.883615945
17,3.881417053
18,3.879282812
19,3.877215326
20,3.875209241
21,3.873250126
22,3.871334786
23,3.86946028
24,3.867629033
25,3.865838259
26,3.864091418
27,3.862366708
28,3.860651598
29,3.858997782
30,3.857343966
31,3.855728733
32,3.854135769
33,3.852549834
34,3.851009851
35,3.849469869
36,3.847959304
37,3.84646592
38,3.844977921
39,3.843525979
40,3.842074038
41,3.84064549
42,3.839230767
43,3.837820316
44,3.83643918
45,3.835058043
46,3.833696024
47,3.832345435
48,3.830998334
49,3.829675773
50,3.828353212
51,3.827046732
52,3.82574998
53,3.824456134
54,3.823183259
55,3.821910384
56,3.82065133
57,3.819400735
58,3.818153778
59,3.816933769
60,3.815713759
61,3.81449375
62,3.81327374
63,3.812058023
64,3.810874956
65,3.809691889
66,3.808508822
67,3.807325755
68,3.806146459
69,3.804996621
70,3.803846782
71,3.802696944
72,3.801547106
73,3.800400613
74,3.799280984
75,3.798161355
76,3.797041725
77,3.795922096
78,3.794805471
79,3.793713666
80,3.79262186
81,3.791530054
82,3.790438248
83,3.789349165
84,3.788283233
85,3.7872173
86,3.786151367
87,3.785085435
88,3.78402198
89,3.782980217
90,3.781938455
91,3.780896692
92,3.77985493
93,3.778815442
94,3.777796484
95,3.776777527
96,3.775758569
97,3.774739612
98,3.773722748
99,3.772725377
100,3.771728006
101,3.770730634
102,3.769733263
103,3.768737826
104,3.767760977
105,3.766784128
106,3.765807279
107,3.76483043
108,3.763855371
109,3.762898074
110,3.761940777
111,3.760983481
112,3.760026184
113,3.759070557
114,3.758132072
115,3.757193587
116,3.756255102
117,3.755316617
118,3.75437967
119,3.753459057
120,3.752538445
121,3.751617832
122,3.75069722
123,3.749778053
124,3.748874793
125,3.747971534
126,3.747068274
127,3.746165014
128,3.745263084
129,3.74437633
130,3.743489575
131,3.742602821
132,3.741716067
133,3.740830561
134,3.739959859
135,3.739089157
136,3.738218455
137,3.737347752
138,3.736478179
139,3.735622513
140,3.734766848
141,3.733911182
142,3.733055517
143,3.732200955
144,3.731360553
145,3.730520152
146,3.72967975
147,3.728839348
148,3.727999869
149,3.727172726
150,3.726345583
151,3.72551844
152,3.724691297
153,3.723865117
154,3.723052384
155,3.722239651
156,3.721426919
157,3.720614186
158,3.719802279
159,3.719002427
160,3.718202574
161,3.717402722
162,3.71660287
163,3.715803763
164,3.715016071
165,3.714228378
166,3.713440686
167,3.712652993
168,3.711865979
169,3.711089862
170,3.710313746
171,3.709537629
172,3.708761513
173,3.70798602
174,3.707221069
175,3.706456118
176,3.705691167
177,3.704926216
178,3.704161808
179,3.703407084
180,3.702652361
181,3.701897637
182,3.701142913
183,3.700388684
184,3.699643775
185,3.698898866
186,3.698153957
187,3.697409048
188,3.696664551
189,3.695928313
190,3.695192075
191,3.694455837
192,3.693719599
193,3.692983747
194,3.692256107
195,3.691528468
196,3.690800829
197,3.690073189
198,3.689345833
199,3.688624914
200,3.687903994
201,3.687183075
202,3.686462156
203,3.68574149
204,3.685027015
205,3.68431254
206,3.683598065
207,3.68288359
208,3.682169318
209,3.681460409
210,3.6807515
211,3.680042591
212,3.679333682
213,3.678624951
214,3.677921298
215,3.677217645
216,3.676513992
217,3.675810339
218,3.675106798
219,3.674406716
220,3.673706635
221,3.673006553
222,3.672306471
223,3.671606511
224,3.670910697
225,3.670214882
226,3.669519068
227,3.668823254
228,3.668127485
229,3.667433458
230,3.66673943
231,3.666045403
232,3.665351376
233,3.664657396
234,3.663965428
235,3.663273461
236,3.662581493
237,3.661889525
238,3.661198572
239,3.660508553
240,3.659818535
241,3.659128516
242,3.658438522
243,3.65774986
244,3.657061198
245,3.656372537
246,3.655683875
247,3.654995779
248,3.654308214
249,3.65362065
250,3.652933085
251,3.652245533
252,3.651558865
253,3.650872197
254,3.65018553
255,3.649498862
256,3.648812631
257,3.648126818
258,3.647441005
259,3.646755192
260,3.646069385
261,3.645384393
262,3.644699401
263,3.644014409
264,3.643329417
265,3.642644829
266,3.641960635
267,3.641276441
268,3.640592247
269,3.639908056
270,3.639224548
271,3.63854104
272,3.637857532
273,3.637174025
274,3.636490968
275,3.635808361
276,3.635125754
277,3.634443147
278,3.633760541
279,3.63307853
280,3.632396521
281,3.631714512
282,3.631032503
